,food_commodity_group,food_commodity_item,CF_food_item,uncertainty,Suggested CF value,food_commodity_typology,CF_food_typology,Food_commodity_sub-TYPOLOGY,CF_food_sub_typology
254,CROPS,CUCUMBER,0.27,L,OK item,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33
255,CROPS,EGGPLANT,0.191,L,OK item,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33
256,CROPS,FENNEL,0.48,H,better typol. or subtypol.,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33
257,CROPS,GERKIN,0.21,L,OK item,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33
258,CROPS,PEPPER,0.6535,L,OK item,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33
259,CROPS,PUMPKIN,0.2362540984,L,OK item,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33
260,CROPS,TOMATO,0.4541,L,OK item,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33
261,CROPS,VEGETABLES,0.535,L,OK item,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33
262,CROPS,ZUCCHINI,0.7,L,OK item,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33
263,FISHING,ALFONSINO,3.49,H,better typology,FISH,5.194,,
264,FISHING,ANCHOVY,0.82065,L,OK item,FISH,5.194,,
265,FISHING,ANGLERFISH,12.2922,H,better typology,FISH,5.194,,
266,FISHING,CARP,1.762,H,better typology,FISH,5.194,,
267,FISHING,CATFISH,8.93,H,better typology,FISH,5.194,,
268,FISHING,COD,3.08,L,OK item,FISH,5.194,,
269,FISHING,DIAMOND FISH,6.017,H,better typology,FISH,5.194,,
270,FISHING,EEL,3.88,H,better typology,FISH,5.194,,
271,FISHING,FISH MIXED,4.988,L,OK item,FISH,5.194,,
272,FISHING,FLATFISH,6.406,H,better typology,FISH,5.194,,
273,FISHING,FLATHEAD,2.56,H,better typology,FISH,5.194,,
274,FISHING,FORK BEARD,8.0086,H,better typology,FISH,5.194,,
275,FISHING,HADDOCK,3.1,H,better typology,FISH,5.194,,
276,FISHING,HAKE,10.4006,L,OK item,FISH,5.194,,
277,FISHING,HERRING,1.242,L,OK item,FISH,5.194,,
278,FISHING,LING,6.4486,H,better typology,FISH,5.194,,
279,FISHING,MACKEREL,1.8,L,OK item,FISH,5.194,,
280,FISHING,MEGRIM,14.1544,H,better typology,FISH,5.194,,
281,FISHING,PILCHARD,1.0968,H,better typology,FISH,5.194,,
282,FISHING,PLAICE,6.13,H,better typology,FISH,5.194,,
283,FISHING,POLLOCK,1.4,H,better typology,FISH,5.194,,
284,FISHING,POMFRET,6.6286,H,better typology,FISH,5.194,,
285,FISHING,PORBEAGLE,11.436,H,better typology,FISH,5.194,,
286,FISHING,RHOMBUS,8.41,H,better typology,FISH,5.194,,
287,FISHING,ROCK FISH,6.94,H,better typology,FISH,5.194,,
288,FISHING,SALMON,3.3734,L,OK item,FISH,5.194,,
289,FISHING,SARDINE,0.9,L,OK item,FISH,5.194,,
290,FISHING,SEA-BASS,3.6,L,OK item,FISH,5.194,,
291,FISHING,SHARK,11.436,H,better typology,FISH,5.194,,
292,FISHING,SOLE,5.4,H,better typology,FISH,5.194,,
293,FISHING,SWARDFISH,12.838,H,better typology,FISH,5.194,,
294,FISHING,TROUT,4.2,L,OK item,FISH,5.194,,
295,FISHING,TUNA,3.675625,L,OK item,FISH,5.194,,
296,FISHING,TURBOT,14.5136,H,better typology,FISH,5.194,,
297,FISHING,WHITING,2.6632,H,better typology,FISH,5.194,,
298,FISHING,COD (F),3.025,L,OK item,FISH FROZEN,2.2,,
299,FISHING,FISH STICK (F),2.260802469,H,better typology,FISH FROZEN,2.2,,
300,FISHING,HADDOCK (F),3.72,H,better typology,FISH FROZEN,2.2,,
301,FISHING,HERRING (F),1.295,L,OK item,FISH FROZEN,2.2,,
302,FISHING,MACKEREL (F),0.99,H,better typology,FISH FROZEN,2.2,,
303,FISHING,MIXED FISH (F),1.04,H,better typology,FISH FROZEN,2.2,,
304,FISHING,POLLOCK (F),0.895,H,better typology,FISH FROZEN,2.2,,
305,FISHING,POLLOCK STICK (F),2.14,H,better typology,FISH FROZEN,2.2,,
306,FISHING,SALMON (F),1.61,L,OK item,FISH FROZEN,2.2,,
307,FISHING,SOLE (F),14.278,H,better typology,FISH FROZEN,2.2,,
308,FISHING,TROUT (F),4.375,H,better typology,FISH FROZEN,2.2,,
309,FISHING,TUNA (F),2.64,L,OK item,FISH FROZEN,2.2,,
310,FISHING,COD FISH STICK,2.14,H,better typology,FISH PROCESSED,2.12,,
311,FISHING,HAKE FISH STICK,2.14,H,better typology,FISH PROCESSED,2.12,,
312,FISHING,MAKEREL FISH STICK,1.01654321,H,better typology,FISH PROCESSED,2.12,,
313,FISHING,TUNA IN CAN,2.1,L,OK item,FISH PROCESSED,2.12,,
314,FISHING,BARNACLE,2.295,L,OK item,SHELLFISH,5.67,,
315,FISHING,KRILL,5.54,H,better typology,SHELLFISH,5.67,,
316,FISHING,LOBSTER,20.25,L,OK item,SHELLFISH,5.67,,
317,FISHING,MUSSELS,0.4649,L,OK item,SHELLFISH,5.67,BIVALVES* (SUB-TYP) (Mussels),0.46
318,FISHING,CUTTLEFISH,5.05,H,better typol. or subtypol.,SHELLFISH,5.67,CEPHALOPOD (SUB-TYP),5.8
319,FISHING,OCTOPUS,5.8,H,better typol. or subtypol.,SHELLFISH,5.67,CEPHALOPOD (SUB-TYP),5.8
320,FISHING,SQUID,6.91,H,better typol. or subtypol.,SHELLFISH,5.67,CEPHALOPOD (SUB-TYP),5.8
321,FISHING,PRAWNS/SHRIMPS,7.04,L,OK item,SHELLFISH,5.67,CRUSTACEAN* (SUB-TYP) (Prawns/Shrimps),7.04
322,FISHING,OCTOPUS (F),7.878611111,H,better typology,SHELLFISH FROZEN,11.47,,
323,FISHING,PRAWNS/SHRIMPS (F),15.065,L,OK item,SHELLFISH FROZEN,11.47,,
